row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,23968966,19442081,125434667,19822868,20060824,21231315,22833116,24532075,16954469
女,11488529,9171711,59368047,9334404,9483516,10031897,10820705,11656937,8040588
城区,3254837,2762320,16808781,2768520,2767227,2790173,2821584,3099990,2561287
镇区,4490348,3561441,22577859,3597038,3561946,3742523,3986619,4480893,3208840
乡村,16223781,13118320,86048027,13457310,13731651,14698619,16024913,16951192,11184342
教育部门 ,22970192,18427044,119567064,18801499,19060163,20230589,21823828,23462203,16188782
民办,214356,335927,1818438,339562,312051,310544,310366,316465,229450
