row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,24191773,19464653,130132548,19898597,20989763,22886809,25134611,25274594,15948174
女,11539735,9285226,61945602,9479996,9979824,10877518,11969586,12043878,N/A
城区,3478149,2891190,18166507,2896948,2874088,2943477,3263067,3467072,2721855
镇区,5037549,4035987,26928904,4079933,4268350,4620373,5153055,5269882,3537311
乡村,15676075,12537476,85037137,12921716,13847325,15322959,16718489,16537640,9689008
教育部门 ,23184212,18436803,124146327,18864069,19983123,21872615,24061462,24184146,15180912
民办,866428,771283,4678160,775209,770739,788106,848662,884390,611054
