row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,21351726,17470128,112462256,17747491,18226389,19604088,19754067,20087610,17042611
女,10096689,8149966,52811549,8268283,8531715,9197103,9300962,9482985,8030501
城区,3028051,2996128,18314007,2999329,2991119,3175267,3231347,3238233,2678712
镇区,3762044,3171362,20362265,3202631,3218531,3509244,3588815,3694971,3148073
乡村,14561631,11302638,73785984,11545531,12016739,12919577,12933905,13154406,11215826
教育部门 ,20416787,16429376,106295624,16703433,17211574,18529601,18662710,19006169,16182137
民办,434241,564595,3283213,566595,541502,571639,579221,568410,455846
