row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,23519240,19527981,121567086,19815252,19741719,20276756,21235842,22586256,17911261
女,11185479,9176275,57381345,9295734,9304040,9576220,10030893,10694927,8479531
城区,3250742,2868086,17212547,2870829,2891430,2953312,2947609,2969071,2580296
镇区,4501415,3713389,22937748,3746113,3706114,3786130,3961694,4274501,3463196
乡村,15767083,12946506,81416791,13198310,13144175,13537314,14326539,15342684,11867769
教育部门 ,22493233,18482958,115527052,18766873,18701232,19228979,20194827,21534211,17100930
民办,300627,401557,2221370,403106,385618,377725,375830,378883,300208
