row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,18701708,17360672,105640027,17618531,16990799,16910053,17686900,18457171,17976573
女,8790377,8015297,49124929,8124139,7876356,7847796,8236122,8621774,8418742
城区,2967205,2957250,17610813,2966160,2924252,2867845,2977586,3041964,2833006
镇区,4627000,4057036,25521904,4094740,3930150,3989927,4275581,4585010,4646496
乡村,11107503,10346386,62507310,10557631,10136397,10052281,10433733,10830197,10497071
教育部门 ,17786905,16407634,99955442,16655341,16073493,15993284,16737227,17469296,17026801
民办,689659,767564,4487915,773195,723866,720548,743269,774610,752427
