row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,16479006,18690411,105612358,18693375,18666360,17686673,17478582,17183866,17478582
女,7641361,8728105,49165005,8729170,8725755,8240839,8125094,7986777,7357370
城区,5808787,7452799,39641412,7452740,7288802,6641665,6410968,6211158,5636079
镇区,6568879,6838859,40395871,6840256,6884861,6687909,6773338,6775209,6434298
乡村,4101340,4398753,25575075,4400379,4492697,4357099,4294276,4197499,3833125
教育部门 ,14930327,17040015,95855503,17043796,17014406,16092921,15864528,15523261,14316591
民办,1498354,1590448,9449051,1590018,1597414,1543785,1565295,1612103,1540436
