row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,16415565,17146640,96958985,17278773,16754480,16152389,15429664,15804784,15538895
女,7634753,7981804,44854417,8035130,7755808,7479251,7099299,7294423,7190506
城区,4402989,4830142,26884287,4844811,4736144,4522361,4208359,4398854,4173758
镇区,5770092,5743893,33549812,5788865,5623404,5528264,5358361,5574512,5676406
乡村,6242484,6572605,36524886,6645097,6394932,6101764,5862944,5831418,5688731
教育部门 ,15334152,16012083,90434874,16138296,15668531,15075172,14382547,14711402,14458926
民办,968714,1044393,5978535,1049852,996090,987153,957047,998859,989534
