row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,18051997,16377978,100714661,16628761,16568751,16935675,16822330,16828810,16930334
女,8441875,7545222,46604874,7649235,7650510,7819455,7798125,7807913,7879636
城区,3037241,2829995,17787684,2835097,2978424,3058839,3075776,2988320,2851228
镇区,4836902,4127154,26371538,4170281,4187318,4364253,4422296,4524950,4702440
乡村,10177854,9420829,56555439,9623383,9403009,9512583,9324258,9315540,9376666
教育部门 ,17108113,15440279,95033065,15686848,15664446,15993621,15866530,15863784,15957836
民办,820993,840220,5028766,844087,800939,833187,841851,847380,861322
