row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,15810583,16953556,93605487,17014194,16452428,15968628,15277067,14523683,14369487
女,7330087,7876592,43312688,7901631,7640390,7382127,7077514,6677216,6633810
城区,4439115,5184555,27729719,5187427,4866502,4791725,4548640,4220127,4115298
镇区,5768325,5850940,33705362,5873081,5754084,5651059,5551434,5386020,5489684
乡村,5603143,5918061,32170406,5953686,5831842,5525844,5176993,4917536,4764505
教育部门 ,14711594,15760639,86861496,15821511,15309580,14851656,14166702,13435312,13276735
民办,1008291,1112846,6286015,1112593,1065612,1040207,1034131,1014279,1019193
