row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6,
总计,19284838,17293572,107115346,17501567,16798503,17673573,18418296,19579668,17143739,
女,9093488,8022180,49981748,8109823,7803930,8228170,8608751,9181545,8049529,
城区,2766402,2682773,16035689,2684129,2566544,2695392,2758647,2857662,2473315,
镇区,4362883,3796390,24318225,3817871,3641626,3921573,4147208,4558128,4231819,
乡村,12155553,10814409,66761432,10999567,10590333,11056608,11512441,12163878,10438605,
教育部门 ,18348345,16321330,101380996,16526632,15891355,16724339,17437731,18556949,16243990,
民办,643121,712489,4120907,713693,651048,677903,702153,731220,644890,
