row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,23137366,20295337,135479642,20900537,22801386,25338360,25737577,25097535,15604247
女,11027229,9666388,64548651,9937953,10867208,12072020,12283684,11976936,7410850
城区,3292056,2798203,18377600,2809608,2842118,3174356,3395633,3471658,2684227
镇区,4616602,3966688,26360773,4030543,4322982,4853832,4991326,4939136,3222954
乡村,15228708,13530446,90741269,14060386,15636286,17310172,17350618,16686741,9697066
教育部门 ,22151895,19293751,129459894,19891988,21797182,24266033,24634946,24010361,14859384
民办,95397,189649,976862,191426,178436,176486,166200,150588,113726
