row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,22678857,18293875,116897395,18560820,19518737,19829825,20246141,21119095,17622777
女,10759948,8573945,55037589,8684618,9171903,9334472,9558844,9961214,8326538
城区,3179926,2966115,18076855,2968231,3048710,3136941,3164935,3143958,2614080
镇区,4265248,3403283,21929021,3432963,3608019,3706961,3786084,4023642,3371352
乡村,15233683,11924477,76891519,12159626,12862008,12985923,13295122,13951495,11637345
教育部门 ,21670739,17238585,110614777,17502130,18452863,18730847,19146608,20019079,16763250
民办,374728,474421,2749341,475439,465408,476518,470473,474531,386972
