row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,14372517,17290429,96921831,17295004,16448469,16605350,16253165,15755897,14563946
女,6609602,8039696,44903098,8041128,7610764,7696881,7539527,7277738,6737060
城区,4309730,5575609,30708802,5574442,5400876,5350177,5042452,4945694,4395161
镇区,5653816,6323325,36554044,6326058,5986917,6134108,6173729,6070372,5862860
乡村,4408971,5391495,29658985,5394504,5060676,5121065,5036984,4739831,4305925
教育部门 ,13204768,15981050,89381938,15987126,15223616,15348562,14976229,14498001,13348404
民办,1101053,1243553,7138225,1242095,1160049,1187518,1208176,1188597,1151790
