row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6,
总计,17396364,16917007,99407043,17145249,16110621,16466550,16779493,16743091,16162039,
女,8105082,7847717,45952696,7944172,7408268,7596280,7747543,7755386,7501047,
城区,3044307,3139526,18204675,3146567,2886617,3067994,3131696,3139610,2832191,
镇区,4924676,4625978,27700170,4665188,4344035,4508443,4677151,4780015,4725338,
乡村,9427381,9151503,53502198,9333494,8879969,8890113,8970646,8823466,8604510,
教育部门 ,16420921,15881893,93462251,16103577,15170513,15500382,15782018,15724312,15181449,
民办,864287,947235,5376255,953482,852615,871482,898519,915916,884241,
