row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,16164927,18672970,103392541,18675001,17660777,17479759,17186612,16405601,15984791
女,7507421,8734475,48083348,8735090,8229630,8126967,7989436,7595579,7406646
城区,5394142,7135059,37221569,7134690,6474493,6257534,6072285,5860777,5421790
镇区,6484310,6830370,39506834,6831024,6548778,6622386,6632304,6391878,6480464
乡村,4286475,4707541,26664138,4709287,4637506,4599839,4482023,4152946,4082537
教育部门 ,14699355,17054674,94179731,17057095,16163412,15975462,15635247,14892579,14455936
民办,1401671,1553073,8845746,1552683,1435259,1442785,1491069,1452617,1471333
