row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,18649512,16957150,103315122,17211575,17059929,16952675,16909350,17660319,17521274
女,8741069,7840201,47928148,7945835,7876517,7855324,7846874,8219942,8183656
城区,3081633,3002730,18043818,3010564,3019711,3059784,2987406,3083433,2882920
镇区,4807040,4096718,26022475,4132834,4136265,4192602,4255777,4601729,4703268
乡村,10760839,9857702,59248829,10068177,9903953,9700289,9666167,9975157,9935086
教育部门 ,17711208,16027698,97635808,16269509,16143032,16019398,15970485,16679107,16554277
民办,769144,796842,4804015,804169,775727,786344,790439,824896,822440
