row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,15658999,17665544,100936980,17670612,17465724,17199979,16418717,16519451,15662497
女,7236807,8241994,46883168,8243724,8118831,7993262,7599330,7659469,7268552
城区,5128287,6300296,34622854,6301277,6073511,5904363,5720553,5635279,4987871
镇区,6222672,6496373,38560500,6498819,6488373,6489222,6253523,6431941,6398622
乡村,4308040,4868875,27753626,4870516,4903840,4806394,4444641,4452231,4276004
教育部门 ,14327070,16225151,92420593,16229663,16077760,15773306,15025298,15085060,14229506
民办,1267129,1376977,8141720,1377530,1325065,1365034,1332110,1368857,1373124
