row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,20194768,16717440,108640655,16945201,17419827,18322521,19545943,19513802,16893361
女,9534415,7770522,50863735,7866686,8121867,8568127,9168868,9190986,7947201
城区,2919645,2773731,17303773,2775151,2831903,2916201,3066301,3081347,2632870
镇区,3964944,3265166,21858606,3287081,3384524,3591354,3920505,4030501,3644641
乡村,13310179,10678543,69478276,10882969,11203400,11814966,12559137,12401954,10615850
教育部门 ,19239852,15711304,102519069,15936851,16428325,17289281,18460924,18439586,15964102
民办,553533,650598,3889404,651953,628061,657336,688513,680223,583318
