row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,21174376,22013814,139537993,22861686,25472700,26085478,25680966,24923056,14514107
女,10079486,10495307,66455686,10857454,12133553,12440899,12259536,11872998,6891246
城区,2942751,2765234,18505771,2780506,3079387,3320055,3409821,3428004,2487998
镇区,4087279,4148464,26637234,4240494,4766847,4921808,4882197,4863337,2962551
乡村,14144346,15100116,94394988,15840686,17626466,17843615,17388948,16631715,9063558
教育部门 ,20276480,21013806,133499479,21849049,24411647,24980986,24587524,23865103,13805170
民办,54809,147110,727645,150113,140110,134952,121281,103974,77215
