row_name,Graduates,Entrants_total,Enrolment_total,Enrolment_g1,Enrolment_g2,Enrolment_g3,Enrolment_g4,Enrolment_g5,Enrolment_g6
总计,14766280,16584245,94510651,16597371,16688685,16339517,15843667,15150683,13890728
女,6826458,7683470,43719566,7688936,7736495,7580618,7320300,7015017,6378200
城区,4429732,5399507,29432481,5400833,5327148,5029213,4938957,4681628,4054702
镇区,5593914,5837619,34579558,5842559,5879033,5900007,5807476,5711193,5439290
乡村,4742634,5347119,30498612,5353979,5482504,5410297,5097234,4757862,4396736
教育部门 ,13645763,15366789,87343165,15379170,15477679,15119633,14643184,13959398,12764101
民办,1045563,1148019,6741425,1148763,1136753,1146724,1127874,1119043,1062268
